epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9073,0.92629,2.32702,1.51787,0.57081,0.65521,0.65712,0.43443,1.04844,2.57135,1.91271,0.000364636,0.000364636,0.000364636
2,21.041,0.87483,1.30356,1.46034,0.70256,0.6626,0.82264,0.56703,1.07104,1.6794,2.09631,0.000734969,0.000734969,0.000734969
3,29.9266,0.89854,1.18877,1.47743,0.3681,0.36931,0.26663,0.13797,1.70494,3.28646,2.7582,0.0011053,0.0011053,0.0011053
4,38.7945,0.87846,1.15084,1.46363,0.72862,0.74216,0.79009,0.51459,1.21205,1.40934,2.16507,0.001111,0.001111,0.001111
5,47.717,0.84845,1.02762,1.41659,0.80544,0.82965,0.92104,0.65201,0.9316,1.13585,1.77724,0.001111,0.001111,0.001111
6,56.77,0.83702,0.98368,1.40618,0.76622,0.78289,0.87767,0.66375,0.95521,1.63758,1.82574,0.001111,0.001111,0.001111
7,65.9389,0.77214,0.86996,1.36843,0.80038,0.80043,0.88835,0.60962,1.07646,1.09576,1.89051,0.001111,0.001111,0.001111
8,74.9613,0.74545,0.86049,1.34096,0.81588,0.82216,0.89449,0.67855,0.9072,1.00613,1.73026,0.001111,0.001111,0.001111
9,84.0533,0.75321,0.81989,1.35364,0.84294,0.90449,0.96126,0.72822,0.88069,0.8428,1.71195,0.001111,0.001111,0.001111
10,93.069,0.70773,0.76962,1.31782,0.89782,0.91952,0.96697,0.72609,0.91182,0.70265,1.76216,0.001111,0.001111,0.001111
11,102.092,0.72137,0.77667,1.32943,0.93707,0.92996,0.9787,0.76601,0.86696,0.71285,1.69632,0.001111,0.001111,0.001111
12,111.267,0.70971,0.77445,1.31359,0.81312,0.8265,0.92553,0.73509,0.91473,1.02914,1.85361,0.001111,0.001111,0.001111
13,120.274,0.69696,0.73918,1.31106,0.94288,0.89755,0.98256,0.81607,0.66127,0.64583,1.42511,0.001111,0.001111,0.001111
14,129.181,0.69304,0.71554,1.31252,0.90528,0.95219,0.97322,0.80467,0.69364,0.56819,1.39848,0.001111,0.001111,0.001111
15,138.283,0.69332,0.72109,1.30427,0.89674,0.89379,0.95642,0.76822,0.70286,0.79915,1.40046,0.001111,0.001111,0.001111
16,147.269,0.69307,0.68875,1.29892,0.94907,0.93117,0.97701,0.84369,0.6274,0.59465,1.36268,0.001111,0.001111,0.001111
17,156.215,0.66625,0.69655,1.27928,0.96288,0.97012,0.98429,0.86405,0.64522,0.48433,1.35188,0.001111,0.001111,0.001111
18,165.124,0.65381,0.65601,1.27371,0.90036,0.92065,0.9851,0.84292,0.66068,0.72767,1.39877,0.001111,0.001111,0.001111
19,174.063,0.63044,0.64995,1.25659,0.9716,0.98425,0.99009,0.85772,0.59658,0.49115,1.32015,0.001111,0.001111,0.001111
20,183.024,0.6547,0.64329,1.27523,0.96974,0.94399,0.99062,0.86444,0.60594,0.49691,1.31631,0.001111,0.001111,0.001111
21,209.411,0.41941,0.44537,1.1942,0.9354,0.94003,0.97803,0.8369,0.6007,0.53106,1.34145,0.001111,0.001111,0.001111
22,218.387,0.38679,0.39118,1.16015,0.85349,0.91359,0.96197,0.84671,0.59944,0.6763,1.30008,0.001111,0.001111,0.001111
23,227.288,0.37389,0.38679,1.15569,0.97442,0.96232,0.98917,0.89541,0.52954,0.44217,1.26312,0.001111,0.001111,0.001111
24,236.224,0.36161,0.36632,1.13967,0.92806,0.94232,0.98262,0.86962,0.57835,0.51174,1.31963,0.001111,0.001111,0.001111
25,245.18,0.3741,0.32901,1.14857,0.97767,0.96348,0.98467,0.8831,0.52204,0.41703,1.2406,0.001111,0.001111,0.001111
26,254.156,0.34151,0.36304,1.11835,0.95699,0.96241,0.98715,0.89833,0.49181,0.40384,1.19031,0.001111,0.001111,0.001111
27,263.162,0.34156,0.34464,1.11698,0.96443,0.97037,0.98245,0.88742,0.53381,0.44293,1.23824,0.001111,0.001111,0.001111
28,271.956,0.34301,0.31265,1.12901,0.93585,0.93943,0.97216,0.85946,0.59026,0.48245,1.35311,0.001111,0.001111,0.001111
29,280.802,0.3249,0.30356,1.10529,0.97952,0.97857,0.98886,0.91233,0.47817,0.35471,1.18433,0.001111,0.001111,0.001111
30,289.7,0.32059,0.3149,1.10225,0.94908,0.92927,0.98283,0.88519,0.53331,0.44188,1.27295,0.001111,0.001111,0.001111
