epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5193.15,0.99434,2.86971,1.56987,0.21112,0.28839,0.16774,0.10904,1.24095,6.33191,2.23801,0.00017776,0.00017776,0.00017776
2,10403,0.71044,1.43577,1.35243,0.7429,0.64796,0.78232,0.63004,0.82188,4.77656,1.63003,0.000354531,0.000354531,0.000354531
3,15637.1,0.74069,1.07057,1.35676,0.73294,0.63494,0.80145,0.599,1.00087,2.17222,2.1096,0.000518837,0.000518837,0.000518837
4,20976.3,0.79782,0.96718,1.40207,0.44855,0.58063,0.48266,0.32141,1.17572,12.6238,2.42519,0.000670677,0.000670677,0.000670677
